#----#-----------#-------#----------#--------------#--------#
| Nº | productos | talla | color    | precio       | genero |
#----#-----------#-------#----------#--------------#--------#
| 15 | Pantalón  | m     | verde    | <br>$115.000 | mujer  |
| 01 | Pantalón  | xxxl  | rojo     | <br>$200.000 | hombre |
| 29 | Pantalón  | l     | rojo     | <br>$70.000  | bebés  |
| 37 | Pantalón  | xxs   | azul     | <br>$45.000  | niños  |
| 08 | Pantalón  | xxxl  | morado   | <br>$140.000 | niñas  |
| 25 | Pantalón  | m     | azul     | <br>$80.000  | niñas  |
| 03 | Pantalón  | xxl   | naranja  | <br>$180.000 | hombre |
| 34 | Pantalón  | xxs   | azul     | <br>$55.000  | mujer  |
| 19 | Pantalón  | l     | naranja  | <br>$105.000 | niños  |
| 10 | Pantalón  | l     | amarillo | <br>$135.000 | mujer  |
| 36 | Pantalón  | s     | morado   | <br>$50.000  | bebés  |
| 27 | Pantalón  | s     | amarillo | <br>$75.000  | niños  |
| 13 | Pantalón  | xl    | rojo     | <br>$120.000 | niños  |
| 23 | Pantalón  | m     | morado   | <br>$90.000  | niños  |
| 06 | Pantalón  | xxl   | verde    | <br>$150.000 | niños  |
| 39 | Pantalón  | xxs   | amarillo | <br>$35.000  | niñas  |
| 12 | Pantalón  | xxl   | rojo     | <br>$125.000 | niñas  |
| 31 | Pantalón  | m     | amarillo | <br>$60.000  | bebés  |
| 02 | Pantalón  | xxxl  | azul     | <br>$195.000 | mujer  |
| 05 | Pantalón  | xl    | rojo     | <br>$155.000 | mujer  |
| 11 | Pantalón  | xxl   | azul     | <br>$135.000 | niños  |
| 26 | Pantalón  | xs    | rojo     | <br>$80.000  | hombre |
| 17 | Pantalón  | xxxl  | azul     | <br>$100.000 | bebés  |
| 38 | Pantalón  | xs    | verde    | <br>$40.000  | bebés  |
| 33 | Pantalón  | xxs   | verde    | <br>$60.000  | hombre |
| 09 | Pantalón  | l     | verde    | <br>$140.000 | hombre |
| 22 | Pantalón  | xxl   | verde    | <br>$90.000  | bebés  |
| 07 | Pantalón  | xl    | amarillo | <br>$160.000 | hombre |
| 32 | Pantalón  | xs    | rojo     | <br>$60.000  | niños  |
| 28 | Pantalón  | xs    | rojo     | <br>$75.000  | mujer  | 
| 30 | Pantalón  | s     | naranja  | <br>$65.000  | niñas  |
| 14 | Pantalón  | m     | azul     | <br>$120.000 | hombre |
| 21 | Pantalón  | s     | naranja  | <br>$95.000  | mujer  |
| 24 | Pantalón  | xl    | naranja  | <br>$80.000  | bebés  |
| 18 | Pantalón  | s     | morado   | <br>$100.000 | hombre |
| 20 | Pantalón  | l     | verde    | <br>$95.000  | niñas  |
| 16 | Pantalón  | xl    | amarillo | <br>$110.000 | niñas  |
| 35 | Pantalón  | xs    | rojo     | <br>$50.000  | niñas  |
| 04 | Pantalón  | xxl   | morado   | <br>$175.000 | mujer  |
| 40 | Pantalón  | xxs   | azul     | <br>$30.000  | bebés  |
#----#-----------#-------#----------#--------------#--------#
